TimeID,Time,intA,intB,intC,intD,StateID
187,"26,645",1,10,0,0,20
188,"26,804",1,6,0,0,13
189,"26,805",1,9,0,0,19
190,"27,100",1,4,8,0,9
191,"27,296",1,8,0,0,17
192,"27,297",4,8,0,0,58
193,"27,367",1,8,0,0,17
194,"27,441",1,4,8,0,9
195,"27,745",3,8,11,0,51
196,"27,746",3,8,11,0,51
197,"27,911",3,8,0,0,49
198,"27,920",8,11,0,0,77
199,"28,001",3,8,0,0,49
200,"28,090",3,8,11,0,51
201,"28,368",3,5,8,10,38
202,"28,535",3,5,10,0,40
203,"28,614",5,8,0,0,64
204,"28,615",3,5,10,0,40
205,"28,700",5,8,0,0,64
206,"28,701",3,5,10,0,40
207,"28,851",5,8,0,0,64
208,"28,852",3,10,0,0,53
209,"28,923",5,8,10,0,65
210,"28,924",3,5,10,0,40
211,"29,007",3,5,10,0,40
212,"29,008",5,8,10,0,65
213,"29,183",5,8,0,0,64
214,"29,184",2,10,0,0,32
215,"29,264",8,10,0,0,76
216,"29,265",2,5,0,0,27
217,"29,345",5,8,10,0,65
218,"29,346",2,10,0,0,32
219,"30,271",7,10,0,0,74
220,"30,272",3,7,10,0,47
221,"30,365",3,7,10,0,47
222,"30,454",3,7,10,0,47
223,"30,455",3,10,0,0,53
224,"30,535",7,11,0,0,75
225,"30,536",3,7,11,0,48
226,"30,619",3,7,11,0,48
227,"30,620",3,7,0,0,46
228,"30,700",3,7,10,0,47
229,"30,701",3,7,0,0,46
230,"30,782",3,7,10,0,47
231,"30,783",3,7,10,0,47
232,"30,850",3,7,11,0,48
233,"30,929",3,7,11,0,48
234,"30,930",3,7,11,0,48
235,"30,997",3,7,10,0,47
236,"30,998",3,7,10,0,47
237,"31,074",3,7,0,0,46
238,"31,075",3,7,10,0,47
239,"31,150",3,11,0,0,54
240,"31,151",3,7,11,0,48
241,"31,227",3,11,0,0,54
242,"31,228",3,7,11,0,48
243,"31,296",3,7,10,0,47
244,"31,297",3,7,10,0,47
245,"31,392",3,7,10,0,47
246,"32,906",3,8,11,0,51
247,"32,996",3,8,11,0,51
248,"32,997",3,11,0,0,54
249,"33,078",3,8,0,0,49
250,"33,079",3,8,11,0,51
251,"33,636",3,8,11,0,51
252,"33,637",3,11,0,0,54
253,"34,013",3,8,0,0,49
254,"34,014",3,11,0,0,54
255,"34,391",3,8,11,0,51
256,"34,392",3,11,0,0,54
257,"34,474",3,8,0,0,49
258,"34,475",8,11,0,0,77
259,"34,560",3,8,11,0,51
260,"35,097",3,8,11,0,51
261,"35,470",3,8,0,0,49
262,"35,471",3,8,11,0,51
263,"35,860",3,8,11,0,51
264,"35,861",3,11,0,0,54
